,Nama,Sandi bank,Tanggal didirikan,Jenis bank,Pengendali,,
81,Bank Resona Perdania,047,31 Desember 1953,Konvensional,Swasta (asing),Devisa,Resona Holdings
82,Bank Sahabat Sampoerna,523,27 September 1990[12],Konvensional,Swasta (lokal),Nondevisa,Sampoerna Strategic Group
83,Bank SBI Indonesia,498,21 Oktober 1970,Konvensional,Swasta (asing),Devisa,State Bank of India
84,Bank Seabank Indonesia,535,4 Oktober 1991,Konvensional,Swasta (asing),Nondevisa,Sea Limited
85,Bank Shinhan Indonesia,152,8 September 1967[9],Konvensional,Swasta (asing),Devisa,Shinhan Financial Group
86,Bank Sinarmas,153,18 Agustus 1989,Konvensional,Swasta (lokal),Devisa,Sinar Mas Multiartha
87,Bank Sulselbar,126,13 Januari 1961,Konvensional,BPD,Devisa,Pemerintah daerah di Sulawesi Selatan dan Sulawesi Barat
88,Bank Sulteng,134,1 April 1969,Konvensional,BPD,Nondevisa,Pemerintah daerah di Sulawesi Tengah
89,Bank Sultra,135,2 Maret 1968,Konvensional,BPD,Nondevisa,Pemerintah daerah di Sulawesi Tenggara
90,Bank Sumsel Babel,120,6 November 1957,Konvensional,BPD,Devisa,Pemerintah daerah di Sumatra Selatan dan Kepulauan Bangka Belitung
91,Bank Sumut,117,4 November 1961,Konvensional,BPD,Devisa,Pemerintah daerah di Sumatra Utara
92,Bank Super Indonesia,562,5 Maret 1993,Konvensional,Swasta (lokal),Nondevisa,Elang Mahkota Teknologi
93,Bank Syariah Indonesia,451,3 April 1969,Syariah,Swasta (lokal),Devisa,"Bank Mandiri, Bank Rakyat Indonesia, dan Bank Negara Indonesia"
94,Bank Tabungan Negara,200,16 Oktober 1897[20],Konvensional,BUMN,Devisa,Pemerintah Republik Indonesia
95,Bank UOB Indonesia,023,31 Agustus 1956,Konvensional,Swasta (asing),Devisa,United Overseas Bank
96,Bank Victoria Internasional,566,28 Oktober 1992,Konvensional,Swasta (lokal),Devisa,Victoria Investama[21]
97,Bank Victoria Syariah,405,15 April 1966,Syariah,Swasta (lokal),Nondevisa,Victoria Investama[22]
98,Bank Woori Saudara,212,18 April 1906[23],Konvensional,Swasta (asing),Devisa,Woori Bank
